Date,Counter
2020-09-07 03:47:32,82184.0
2020-09-07 03:47:47,88600.0
2020-09-07 03:48:02,88600.0
2020-09-07 03:48:17,88600.0
2020-09-07 03:48:32,88600.0
2020-09-07 03:48:47,66588.0
2020-09-07 03:49:02,66588.0
2020-09-07 03:49:17,66588.0
2020-09-07 03:49:32,66588.0
2020-09-07 03:49:47,73004.0
2020-09-07 03:50:02,73004.0
2020-09-07 03:50:17,73004.0
2020-09-07 03:50:32,73004.0
2020-09-07 03:50:47,73004.0
2020-09-07 03:51:02,79420.0
2020-09-07 03:51:17,79420.0
2020-09-07 03:51:32,79420.0
2020-09-07 03:51:47,79420.0
2020-09-07 03:52:02,85836.0
2020-09-07 03:52:17,85836.0
2020-09-07 03:52:32,85836.0
2020-09-07 03:52:47,85836.0
2020-09-07 03:53:02,62936.0
2020-09-07 03:53:17,62936.0
2020-09-07 03:53:32,62936.0
2020-09-07 03:53:47,62936.0
2020-09-07 03:54:02,69352.0
2020-09-07 03:54:17,69352.0
2020-09-07 03:54:32,69352.0
2020-09-07 03:54:47,69352.0
2020-09-07 03:55:02,75768.0
2020-09-07 03:55:17,75768.0
2020-09-07 03:55:32,75768.0
2020-09-07 03:55:47,75768.0
2020-09-07 03:56:02,75768.0
2020-09-07 03:56:17,82184.0
2020-09-07 03:56:32,82184.0
2020-09-07 03:56:47,82184.0
2020-09-07 03:57:02,82184.0
2020-09-07 03:57:17,88600.0
2020-09-07 03:57:32,88600.0
2020-09-07 03:57:47,88600.0
2020-09-07 03:58:02,88600.0
2020-09-07 03:58:17,66292.0
2020-09-07 03:58:32,66292.0
2020-09-07 03:58:47,66292.0
2020-09-07 03:59:02,66292.0
2020-09-07 03:59:17,72708.0
2020-09-07 03:59:32,72708.0
2020-09-07 03:59:47,72708.0
2020-09-07 04:00:02,72708.0
2020-09-07 04:00:17,79124.0
2020-09-07 04:00:32,79124.0
2020-09-07 04:00:47,79124.0
2020-09-07 04:01:02,79124.0
2020-09-07 04:01:17,79124.0
2020-09-07 04:01:32,85540.0
2020-09-07 04:01:47,85540.0
2020-09-07 04:02:02,85540.0
2020-09-07 04:02:17,85540.0
2020-09-07 04:02:32,62936.0
2020-09-07 04:02:47,62936.0
2020-09-07 04:03:02,62936.0
2020-09-07 04:03:17,62936.0
2020-09-07 04:03:32,69352.0
